inst,actual,predicted,error,1,2,3
1,3:Iris-virginica,3:Iris-virginica,,0,0.01,*0.99
2,3:Iris-virginica,3:Iris-virginica,,0,0.109,*0.891
3,3:Iris-virginica,3:Iris-virginica,,0,0.067,*0.933
4,3:Iris-virginica,3:Iris-virginica,,0,0.037,*0.963
5,3:Iris-virginica,3:Iris-virginica,,0,0.005,*0.995
6,1:Iris-setosa,1:Iris-setosa,,*1,0,0
7,1:Iris-setosa,1:Iris-setosa,,*1,0,0
8,1:Iris-setosa,1:Iris-setosa,,*1,0,0
9,1:Iris-setosa,1:Iris-setosa,,*1,0,0
10,1:Iris-setosa,1:Iris-setosa,,*1,0,0
11,2:Iris-versicolor,2:Iris-versicolor,,0,*0.982,0.018
12,2:Iris-versicolor,2:Iris-versicolor,,0,*0.99,0.01
13,2:Iris-versicolor,2:Iris-versicolor,,0,*1,0
14,2:Iris-versicolor,2:Iris-versicolor,,0,*0.948,0.052
15,2:Iris-versicolor,3:Iris-virginica,+,0,0.153,*0.847
1,3:Iris-virginica,3:Iris-virginica,,0,0.111,*0.889
2,3:Iris-virginica,3:Iris-virginica,,0,0.003,*0.997
3,3:Iris-virginica,3:Iris-virginica,,0,0.001,*0.999
4,3:Iris-virginica,3:Iris-virginica,,0,0,*1
5,3:Iris-virginica,3:Iris-virginica,,0,0.068,*0.932
6,1:Iris-setosa,1:Iris-setosa,,*1,0,0
7,1:Iris-setosa,1:Iris-setosa,,*1,0,0
8,1:Iris-setosa,1:Iris-setosa,,*1,0,0
9,1:Iris-setosa,1:Iris-setosa,,*1,0,0
10,1:Iris-setosa,1:Iris-setosa,,*1,0,0
11,2:Iris-versicolor,2:Iris-versicolor,,0,*0.995,0.005
12,2:Iris-versicolor,2:Iris-versicolor,,0,*0.999,0.001
13,2:Iris-versicolor,2:Iris-versicolor,,0,*0.996,0.004
14,2:Iris-versicolor,2:Iris-versicolor,,0,*0.994,0.006
15,2:Iris-versicolor,2:Iris-versicolor,,0,*0.999,0.001
1,3:Iris-virginica,3:Iris-virginica,,0,0.003,*0.997
2,3:Iris-virginica,3:Iris-virginica,,0,0.017,*0.983
3,3:Iris-virginica,3:Iris-virginica,,0,0.013,*0.987
4,3:Iris-virginica,3:Iris-virginica,,0,0.039,*0.961
5,3:Iris-virginica,3:Iris-virginica,,0,0.001,*0.999
6,1:Iris-setosa,1:Iris-setosa,,*1,0,0
7,1:Iris-setosa,1:Iris-setosa,,*1,0,0
8,1:Iris-setosa,1:Iris-setosa,,*1,0,0
9,1:Iris-setosa,1:Iris-setosa,,*1,0,0
10,1:Iris-setosa,1:Iris-setosa,,*1,0,0
11,2:Iris-versicolor,2:Iris-versicolor,,0,*0.969,0.031
12,2:Iris-versicolor,2:Iris-versicolor,,0,*0.999,0.001
13,2:Iris-versicolor,2:Iris-versicolor,,0,*0.999,0.001
